# Migration is number of nodes that have changed color.

Round		Edge-Cut		Swaps		Migrations		Skipped
0		564312		63708		43214
1		494387		127335		44940
2		413370		190902		45855
3		347581		254446		46143
4		297273		317920		46412
5		264085		381378		46707
6		241037		444800		46911
7		225043		508201		46970
8		213513		571605		47061
9		204809		634981		47126
10		197293		698373		47132
11		191782		761740		47225
12		186519		825106		47242
13		182382		888501		47276
14		179539		951885		47306
15		176808		1015265		47243
16		174235		1078657		47270
17		172403		1142017		47291
18		170636		1205362		47301
19		168922		1268709		47370
20		167520		1332086		47398
21		166393		1395444		47390
22		164816		1458842		47499
23		163863		1522215		47478
24		162652		1585584		47415
25		161376		1648967		47502
26		160292		1712315		47533
27		159335		1775699		47589
28		158417		1839072		47507
29		157860		1902446		47567
30		157145		1965850		47572
31		156390		2029225		47555
32		155560		2092643		47565
33		155138		2156030		47609
34		154503		2219404		47591
35		152201		2224987		47596
36		150580		2229496		47573
37		149233		2233080		47560
38		148284		2235998		47583
39		147523		2238402		47571
40		146968		2240387		47591
41		146540		2242108		47590
42		146202		2243637		47576
43		145879		2244992		47573
44		145588		2246194		47585
45		145308		2247253		47605
46		145159		2248208		47595
47		144888		2249149		47605
48		144720		2249898		47608
49		144526		2250563		47627
50		144391		2251165		47630
51		144308		2251687		47630
52		144215		2252184		47632
53		144103		2252631		47639
54		144036		2253024		47634
55		143959		2253369		47635
56		143892		2253694		47652
57		143838		2253995		47619
58		143783		2254276		47609
59		143741		2254527		47612
60		143704		2254756		47600
61		143660		2254979		47598
62		143626		2255178		47610
63		143591		2255365		47617
64		143559		2255537		47606
65		143529		2255694		47615
66		143504		2255854		47618
67		143481		2255992		47613
68		143460		2256123		47610
69		143435		2256240		47612
70		143423		2256342		47612
71		143406		2256441		47613
72		143389		2256532		47606
73		143377		2256616		47611
74		143366		2256703		47610
75		143353		2256787		47618
76		143342		2256868		47622
77		143329		2256951		47622
78		143321		2257025		47622
79		143315		2257098		47620
80		143306		2257172		47627
81		143300		2257246		47629
82		143286		2257321		47629
83		143277		2257388		47623
84		143271		2257450		47624
85		143269		2257509		47623
86		143263		2257572		47624
87		143256		2257634		47626
88		143247		2257700		47620
89		143241		2257757		47623
90		143235		2257818		47616
91		143229		2257872		47614
92		143223		2257926		47614
93		143220		2257979		47614
94		143215		2258030		47612
95		143212		2258079		47614
96		143206		2258126		47615
97		143201		2258173		47618
98		143200		2258218		47615
99		143195		2258263		47619
100		143190		2258306		47617
101		143185		2258347		47622
102		143183		2258383		47622
103		143181		2258419		47621
104		143178		2258454		47619
105		143173		2258492		47618
106		143168		2258525		47619
107		143166		2258553		47618
108		143164		2258583		47619
109		143162		2258613		47622
110		143156		2258645		47621
111		143152		2258674		47618
112		143146		2258700		47619
113		143143		2258719		47616
114		143140		2258738		47615
115		143137		2258757		47615
116		143133		2258777		47614
117		143129		2258797		47618
118		143128		2258813		47620
119		143126		2258831		47619
120		143124		2258845		47619
121		143124		2258857		47619
122		143122		2258871		47618
123		143120		2258885		47618
124		143119		2258898		47618
125		143115		2258912		47617
126		143112		2258923		47618
127		143111		2258932		47616
128		143110		2258939		47615
129		143108		2258945		47613
130		143106		2258951		47614
131		143104		2258957		47616
132		143103		2258962		47616
133		143103		2258966		47616
134		143103		2258970		47616
135		143102		2258975		47616
136		143101		2258980		47617
137		143100		2258985		47618
138		143099		2258990		47618
139		143099		2258994		47618
140		143099		2258998		47618
141		143099		2259002		47618
142		143099		2259006		47618
143		143097		2259012		47618
144		143097		2259016		47618
145		143096		2259021		47617
146		143094		2259029		47616
147		143094		2259035		47616
148		143092		2259043		47618
149		143090		2259051		47620
150		143090		2259057		47620
151		143091		2259068		47618
152		143091		2259079		47618
153		143089		2259086		47618
154		143088		2259093		47619
155		143088		2259099		47619
156		143085		2259108		47616
157		143084		2259117		47615
158		143083		2259125		47616
159		143083		2259131		47616
160		143083		2259137		47616
161		143083		2259143		47616
162		143083		2259149		47616
163		143081		2259157		47614
164		143081		2259163		47614
165		143081		2259171		47614
166		143081		2259179		47614
167		143081		2259187		47614
168		143080		2259194		47613
169		143080		2259200		47613
170		143080		2259206		47614
171		143075		2259213		47612
172		143075		2259215		47612
173		143073		2259219		47612
174		143073		2259221		47612
175		143072		2259224		47613
176		143072		2259226		47613
177		143070		2259228		47616
178		143069		2259229		47615
179		143069		2259229		47615
180		143069		2259229		47615
181		143068		2259232		47616
182		143068		2259234		47616
183		143066		2259238		47617
184		143065		2259241		47617
185		143064		2259244		47616
186		143063		2259247		47615
187		143063		2259249		47615
188		143063		2259251		47615
189		143062		2259254		47616
190		143061		2259257		47618
191		143061		2259259		47618
192		143061		2259261		47618
193		143060		2259264		47616
194		143060		2259266		47616
195		143060		2259268		47616
196		143060		2259270		47616
197		143060		2259272		47616
198		143060		2259274		47616
199		143059		2259277		47616
200		143059		2259279		47616
201		143059		2259281		47616
202		143059		2259283		47616
203		143059		2259285		47616
204		143059		2259287		47616
205		143059		2259289		47616
206		143058		2259292		47615
207		143058		2259294		47615
208		143058		2259296		47615
209		143058		2259298		47615
210		143058		2259300		47615
211		143058		2259302		47615
212		143058		2259304		47615
213		143057		2259307		47615
214		143057		2259309		47615
215		143057		2259311		47615
216		143057		2259313		47615
217		143057		2259315		47615
218		143056		2259318		47616
219		143056		2259320		47616
220		143055		2259323		47617
221		143054		2259326		47617
222		143053		2259329		47617
223		143053		2259331		47617
224		143053		2259333		47617
225		143053		2259335		47617
226		143052		2259338		47616
227		143052		2259340		47616
228		143052		2259342		47616
229		143052		2259344		47616
230		143052		2259346		47616
231		143052		2259348		47616
232		143051		2259351		47616
233		143050		2259354		47615
234		143049		2259357		47614
235		143048		2259360		47614
236		143048		2259362		47614
237		143048		2259364		47614
238		143048		2259366		47614
239		143047		2259369		47612
240		143047		2259371		47612
241		143047		2259373		47612
242		143047		2259375		47612
243		143047		2259377		47612
244		143047		2259379		47612
245		143047		2259381		47612
246		143047		2259383		47612
247		143047		2259385		47612
248		143047		2259387		47612
249		143047		2259389		47612
250		143047		2259391		47612
251		146241		2322936		47598
252		148268		2386481		47588
253		150110		2450065		47578
254		150642		2513608		47575
255		151156		2577133		47567
256		151886		2640657		47576
257		152059		2704153		47579
258		152315		2767660		47623
259		152045		2831145		47660
260		152581		2894643		47620
261		152564		2958138		47600
262		152046		3021623		47616
263		151720		3085112		47668
264		151565		3148580		47622
265		151609		3212060		47657
266		151550		3275518		47634
267		151016		3338970		47641
268		151006		3402412		47602
269		150462		3465874		47613
270		150075		3529338		47594
271		149808		3592770		47639
272		149700		3656227		47616
273		149258		3719681		47675
274		148826		3783129		47611
275		148456		3846579		47660
276		148283		3910037		47619
277		147875		3973504		47634
278		147514		4036943		47625
279		147293		4100387		47651
280		146880		4163802		47668
281		146560		4227226		47693
282		146228		4290646		47708
283		145762		4354063		47698
284		145547		4417478		47651
285		144274		4420656		47711
286		143392		4423181		47686
287		142647		4425214		47705
288		142122		4426967		47708
289		141695		4428381		47725
290		141178		4429659		47734
291		139402		4431026		47731
292		138401		4432166		47716
293		137964		4433146		47749
294		137764		4433968		47746
295		137577		4434722		47740
296		137434		4435399		47736
297		137295		4436030		47757
298		137159		4436582		47773
299		137035		4437070		47747
300		136926		4437507		47759
301		136854		4437889		47730
302		136784		4438227		47726
303		136715		4438552		47731
304		136663		4438812		47731
305		136605		4439056		47735
306		136570		4439274		47724
307		136538		4439465		47717
308		136493		4439659		47728
309		136459		4439828		47729
310		136441		4439992		47732
311		136422		4440144		47732
312		136394		4440303		47733
313		136365		4440458		47732
314		136350		4440588		47735
315		136348		4440706		47738
316		136322		4440837		47747
317		136293		4440966		47751
318		136277		4441072		47751
319		136261		4441173		47747
320		136239		4441280		47752
321		136224		4441374		47754
322		136210		4441457		47753
323		136197		4441536		47760
324		136186		4441607		47760
325		136181		4441676		47759
326		136175		4441738		47758
327		136163		4441804		47761
328		136153		4441866		47756
329		136146		4441920		47756
330		136133		4441975		47751
331		136127		4442030		47756
332		136120		4442079		47755
333		136112		4442125		47754
334		136104		4442170		47751
335		136101		4442208		47755
336		136097		4442241		47755
337		136088		4442278		47752
338		136082		4442306		47750
339		136076		4442332		47757
340		136067		4442354		47755
341		136062		4442373		47753
342		136055		4442390		47755
343		136048		4442407		47754
344		136046		4442417		47754
345		136042		4442429		47755
346		136038		4442441		47757
347		136035		4442452		47759
348		136033		4442466		47757
349		136032		4442475		47757
350		136028		4442490		47758
351		136027		4442503		47756
352		136021		4442519		47753
353		136017		4442538		47755
354		136011		4442557		47752
355		136008		4442572		47749
356		136005		4442585		47748
357		136000		4442598		47746
358		135999		4442607		47746
359		135993		4442621		47748
360		135991		4442632		47747
361		135990		4442641		47747
362		135990		4442649		47747
363		135989		4442658		47747
364		135987		4442668		47746
365		135986		4442677		47744
366		135986		4442685		47744
367		135982		4442694		47744
368		135980		4442703		47744
369		135979		4442709		47746
370		135977		4442717		47746
371		135976		4442725		47745
372		135975		4442731		47745
373		135973		4442739		47746
374		135971		4442747		47749
375		135971		4442754		47749
376		135968		4442762		47746
377		135967		4442767		47746
378		135967		4442771		47746
379		135965		4442777		47746
380		135964		4442782		47745
381		135964		4442786		47745
382		135964		4442790		47745
383		135963		4442796		47747
384		135963		4442802		47747
385		135961		4442810		47746
386		135960		4442817		47747
387		135959		4442824		47747
388		135958		4442831		47748
389		135957		4442837		47748
390		135957		4442841		47748
391		135957		4442845		47748
392		135957		4442849		47748
393		135954		4442856		47745
394		135953		4442861		47746
395		135952		4442866		47746
396		135950		4442872		47746
397		135950		4442876		47746
398		135949		4442879		47747
399		135949		4442881		47747
400		135948		4442884		47747
401		135948		4442887		47747
402		135946		4442891		47749
403		135945		4442894		47749
404		135944		4442897		47749
405		135943		4442900		47750
406		135942		4442903		47750
407		135940		4442907		47750
408		135938		4442911		47750
409		135938		4442913		47750
410		135937		4442916		47750
411		135937		4442918		47750
412		135934		4442923		47749
413		135934		4442925		47749
414		135934		4442927		47749
415		135932		4442931		47749
416		135931		4442936		47749
417		135931		4442940		47749
418		135931		4442944		47749
419		135931		4442948		47749
420		135930		4442953		47747
421		135929		4442958		47748
422		135929		4442962		47748
423		135928		4442967		47748
424		135927		4442972		47748
425		135926		4442977		47748
426		135925		4442980		47747
427		135925		4442982		47747
428		135925		4442984		47747
429		135925		4442986		47747
430		135925		4442988		47747
431		135925		4442990		47747
432		135924		4442993		47747
433		135924		4442995		47747
434		135923		4442998		47748
435		135923		4443000		47748
436		135923		4443002		47748
437		135923		4443004		47748
438		135923		4443006		47748
439		135921		4443010		47749
440		135918		4443015		47751
441		135917		4443018		47750
442		135916		4443021		47750
443		135916		4443023		47750
444		135915		4443026		47751
445		135915		4443028		47751
446		135915		4443030		47751
447		135915		4443032		47751
448		135915		4443034		47751
449		135913		4443038		47753
450		135913		4443040		47753
451		135913		4443042		47753
452		135913		4443044		47753
453		135913		4443046		47753
454		135913		4443048		47753
455		135913		4443050		47753
456		135913		4443052		47753
457		135912		4443055		47754
458		135912		4443057		47754
459		135911		4443060		47754
460		135910		4443063		47754
461		135910		4443065		47754
462		135909		4443068		47754
463		135909		4443070		47754
464		135909		4443072		47754
465		135908		4443075		47756
466		135908		4443077		47756
467		135908		4443079		47756
468		135908		4443081		47756
469		135908		4443083		47756
470		135908		4443085		47756
471		135908		4443087		47756
472		135908		4443089		47756
473		135908		4443091		47756
474		135908		4443093		47756
475		135908		4443095		47756
476		135908		4443097		47756
477		135907		4443100		47755
478		135907		4443102		47755
479		135907		4443104		47755
480		135907		4443106		47755
481		135907		4443108		47755
482		135907		4443110		47755
483		135907		4443112		47755
484		135907		4443114		47755
485		135907		4443116		47755
486		135907		4443118		47755
487		135907		4443120		47755
488		135907		4443122		47755
489		135907		4443124		47755
490		135907		4443126		47755
491		135906		4443129		47754
492		135906		4443131		47754
493		135905		4443136		47755
494		135905		4443140		47755
495		135904		4443145		47756
496		135904		4443149		47756
497		135904		4443153		47756
498		135904		4443157		47756
499		135904		4443161		47756
500		135904		4443165		47756
501		138943		4506714		47741
502		140723		4570263		47757
503		141868		4633805		47741
504		142837		4697341		47729
505		142953		4760881		47735
506		143234		4824400		47762
507		143375		4887939		47755
508		143789		4951428		47678
509		143820		5014922		47713
510		144255		5078430		47735
511		143865		5141909		47659
512		143951		5205409		47691
513		144094		5268893		47694
514		143751		5332373		47690
515		143362		5395861		47702
516		143498		5459355		47722
517		143314		5522843		47719
518		143036		5586299		47646
519		143039		5649777		47721
520		142911		5713253		47694
521		142713		5776737		47735
522		142206		5840180		47721
523		141784		5903630		47709
524		141537		5967071		47755
525		141228		6030538		47756
526		140796		6093998		47688
527		140658		6157457		47736
528		140296		6220895		47707
529		140109		6284326		47716
530		139840		6347800		47713
531		139684		6411239		47778
532		139452		6474691		47739
533		139234		6538112		47727
534		138975		6601565		47743
535		138266		6604011		47738
536		137599		6605911		47802
537		137218		6607460		47806
538		136821		6608741		47818
539		136506		6609822		47800
540		136300		6610730		47800
541		136096		6611538		47819
542		135952		6612189		47804
543		135803		6612763		47818
544		135698		6613254		47825
545		135607		6613698		47821
546		135538		6614054		47808
547		135467		6614398		47820
548		135422		6614692		47817
549		135343		6614985		47819
550		135305		6615236		47833
551		135257		6615478		47836
552		135220		6615701		47820
553		135178		6615918		47819
554		135141		6616108		47828
555		135119		6616269		47827
556		135085		6616419		47822
557		135061		6616559		47829
558		135045		6616679		47829
559		135017		6616799		47826
560		134991		6616908		47828
561		134976		6617001		47818
562		134961		6617086		47816
563		134950		6617161		47816
564		134939		6617235		47817
565		134933		6617309		47809
566		134915		6617383		47811
567		134896		6617453		47808
568		134887		6617509		47802
569		134879		6617564		47803
570		134872		6617615		47800
571		134861		6617667		47798
572		134856		6617713		47801
573		134848		6617756		47798
574		134843		6617795		47797
575		134838		6617833		47794
576		134830		6617868		47794
577		134822		6617902		47794
578		134813		6617937		47792
579		134806		6617968		47793
580		134803		6617993		47794
581		134798		6618020		47792
582		134794		6618046		47791
583		134793		6618069		47791
584		134791		6618091		47793
585		134789		6618111		47792
586		134784		6618132		47791
587		134783		6618149		47792
588		134783		6618165		47792
589		134780		6618182		47794
590		134774		6618204		47795
591		134772		6618222		47797
592		134771		6618239		47797
593		134768		6618258		47795
594		134767		6618275		47796
595		134766		6618292		47795
596		134766		6618308		47795
597		134763		6618327		47793
598		134761		6618347		47793
599		134761		6618370		47794
600		134760		6618388		47792
601		134757		6618406		47794
602		134756		6618421		47795
603		134755		6618435		47794
604		134753		6618449		47794
605		134752		6618462		47794
606		134749		6618476		47796
607		134749		6618488		47796
608		134748		6618502		47799
609		134748		6618512		47799
610		134748		6618522		47799
611		134744		6618536		47799
612		134743		6618547		47795
613		134742		6618556		47796
614		134741		6618565		47797
615		134740		6618572		47797
616		134739		6618579		47797
617		134738		6618586		47796
618		134738		6618592		47796
619		134733		6618603		47798
620		134732		6618610		47798
621		134732		6618616		47798
622		134732		6618622		47798
623		134731		6618629		47798
624		134729		6618639		47799
625		134729		6618645		47799
626		134729		6618651		47799
627		134728		6618658		47798
628		134726		6618666		47796
629		134725		6618671		47795
630		134724		6618674		47796
631		134723		6618677		47796
632		134723		6618679		47796
633		134721		6618683		47793
634		134719		6618685		47792
635		134715		6618689		47789
636		134715		6618689		47789
637		134715		6618689		47789
638		134713		6618691		47787
639		134713		6618691		47787
640		134712		6618692		47787
641		134710		6618694		47787
642		134709		6618695		47789
643		134708		6618696		47790
644		134707		6618697		47788
645		134706		6618698		47788
646		134706		6618698		47788
647		134705		6618699		47787
648		134704		6618700		47786
649		134704		6618700		47786
650		134703		6618701		47784
651		134701		6618706		47787
652		134701		6618706		47787
653		134701		6618706		47787
654		134700		6618707		47788
655		134700		6618707		47788
656		134699		6618708		47789
657		134699		6618708		47789
